Wall time,Step,Value
1756585369.332877,0,0.6538830399513245
1756585383.972647,1,0.5082567930221558
1756585398.878828,2,0.435754656791687
1756585413.084248,3,0.4004906713962555
1756585427.743852,4,0.37793299555778503
1756585442.550366,5,0.3588143587112427
1756585457.182868,6,0.3469078242778778
1756585471.569235,7,0.3338812589645386
1756585486.031063,8,0.3254307210445404
1756585500.452503,9,0.31766775250434875
1756585514.914391,10,0.3108832538127899
1756585529.645587,11,0.30528226494789124
1756585543.697907,12,0.3013031482696533
1756585558.085453,13,0.2941640615463257
1756585573.052318,14,0.2886669933795929
1756585587.672976,15,0.2827666699886322
1756585602.032599,16,0.2813068628311157
1756585617.04298,17,0.2775745689868927
1756585631.739345,18,0.2724059224128723
1756585645.827079,19,0.2684493362903595
1756585660.191044,20,0.2662282884120941
1756585674.073258,21,0.264315128326416
1756585689.01166,22,0.25895968079566956
1756585703.368439,23,0.25655487179756165
1756585718.240755,24,0.255546897649765
1756585732.790374,25,0.252825528383255
1756585747.120157,26,0.25024592876434326
1756585761.706255,27,0.24196656048297882
1756585776.388711,28,0.2394014447927475
1756585790.354949,29,0.2369956374168396
1756585803.99029,30,0.23496633768081665
1756585818.660816,31,0.23646295070648193
1756585833.651766,32,0.23370826244354248
1756585848.305269,33,0.23411284387111664
1756585863.139013,34,0.23126405477523804
1756585877.856536,35,0.23116719722747803
1756585892.206218,36,0.2290402054786682
1756585906.455204,37,0.22859136760234833
1756585921.486833,38,0.22845034301280975
1756585936.441906,39,0.22453433275222778
1756585951.178846,40,0.2256285548210144
1756585965.848939,41,0.21964092552661896
1756585980.580274,42,0.2225579023361206
1756585995.417724,43,0.22190600633621216
1756586010.225514,44,0.2187129706144333
1756586024.866422,45,0.21802406013011932
1756586038.967129,46,0.2157025784254074
