epoch,train_seg_loss,val_seg_loss
1,2.54624,1.98348
2,2.01524,1.8025
3,1.89741,1.72975
4,1.83147,1.68423
5,1.78639,1.67753
6,1.76876,1.63289
7,1.70904,1.63552
8,1.70545,1.62184
9,1.66472,1.58647
10,1.65698,1.56799
11,1.6554,1.57472
12,1.61506,1.56891
13,1.60009,1.56747
14,1.61417,1.55654
15,1.59307,1.55683
16,1.57375,1.54994
17,1.57154,1.54094
18,1.54934,1.53617
19,1.54816,1.55075
20,1.52424,1.55717
21,1.52544,1.54742
22,1.5291,1.5297
23,1.51418,1.5445
24,1.50741,1.53414
25,1.49777,1.53474
26,1.48285,1.5343
27,1.49492,1.53339
28,1.48179,1.5272
29,1.48082,1.51981
30,1.47884,1.54446
31,1.47275,1.54003
32,1.46292,1.54161
33,1.44424,1.53764
34,1.45192,1.54272
35,1.4505,1.53279
36,1.4485,1.54683
37,1.4372,1.5388
38,1.43319,1.53292
39,1.43139,1.51798
40,1.42453,1.52998
41,1.41083,1.53025
42,1.41048,1.5337
43,1.40074,1.53161
44,1.39259,1.53347
45,1.42275,1.54218
46,1.40938,1.53576
47,1.38693,1.54133
48,1.38244,1.52494
49,1.37804,1.5265
50,1.38963,1.53879
51,1.38825,1.54521
52,1.38299,1.53493
53,1.36632,1.53729
54,1.36374,1.54385
55,1.37039,1.51965
56,1.35925,1.53407
57,1.36198,1.53098
58,1.36506,1.54708
59,1.36108,1.54112
60,1.35507,1.53647
61,1.35407,1.53614
62,1.33775,1.54233
63,1.35074,1.52782
64,1.35384,1.54822
65,1.33422,1.53769
66,1.33366,1.53729
67,1.34509,1.53336
68,1.32,1.54638
69,1.32271,1.54484
70,1.32217,1.53664
71,1.33144,1.54063
72,1.31435,1.53453
73,1.31798,1.53664
74,1.33522,1.54475
75,1.32239,1.55771
76,1.31653,1.54541
77,1.30554,1.5623
78,1.30933,1.5589
79,1.31933,1.54821
80,1.30463,1.54517
81,1.32337,1.54596
82,1.29976,1.54835
83,1.31041,1.54663
84,1.30428,1.55082
85,1.2993,1.5572
86,1.2865,1.54195
87,1.2914,1.54599
88,1.31526,1.54055
89,1.2831,1.55243
90,1.30717,1.54686
91,1.28037,1.55077
92,1.28313,1.54481
93,1.2762,1.55625
94,1.27304,1.55776
95,1.28206,1.55351
96,1.28206,1.55831
97,1.27063,1.55639
98,1.27121,1.54231
99,1.2833,1.54654
100,1.27004,1.54704
101,1.24682,1.5503
102,1.2632,1.54263
103,1.26892,1.55321
104,1.26516,1.5579
105,1.25604,1.55447
106,1.26686,1.56371
107,1.26227,1.55784
108,1.2645,1.55039
109,1.24598,1.56141
110,1.26565,1.56442
111,1.25516,1.5664
112,1.2544,1.55965
113,1.25546,1.55597
114,1.24402,1.55596
115,1.27382,1.5581
116,1.2572,1.55927
117,1.25984,1.5666
118,1.25685,1.56282
119,1.23508,1.56246
120,1.24323,1.55899
121,1.25456,1.56087
122,1.22945,1.56385
123,1.24353,1.56593
124,1.24649,1.56408
125,1.23487,1.55801
126,1.25059,1.56602
127,1.2347,1.56072
128,1.23165,1.56028
129,1.24702,1.56028
130,1.23028,1.5635
131,1.23143,1.56989
132,1.2261,1.57066
133,1.22687,1.56886
134,1.23912,1.57283
135,1.24958,1.57587
136,1.23065,1.57748
137,1.2181,1.57572
138,1.22004,1.57278
139,1.23882,1.57179
140,1.23116,1.57378
141,1.20817,1.5857
142,1.17366,1.58926
143,1.15039,1.58689
144,1.14693,1.58559
145,1.14328,1.58647
146,1.13143,1.58364
147,1.12309,1.58458
148,1.1151,1.58572
149,1.11692,1.58356
150,1.12175,1.58587
