epoch,train_seg_loss,val_seg_loss
1,1.86765,1.54778
2,1.62092,1.65386
3,1.76007,2.2637
4,1.93833,2.11797
5,1.89738,1.91798
6,1.85944,1.84503
7,1.78317,1.74767
8,1.73978,1.7695
9,1.71877,1.72463
10,1.68455,1.64137
11,1.64306,1.62776
12,1.6248,1.63844
13,1.59486,1.54844
14,1.56364,1.53711
15,1.53903,1.54259
16,1.53255,1.50905
17,1.48385,1.49648
18,1.47448,1.47209
19,1.47014,1.4465
20,1.44191,1.49755
21,1.42228,1.45697
22,1.39629,1.45555
23,1.37604,1.4652
24,1.38928,1.42119
25,1.36639,1.44981
26,1.32009,1.39431
27,1.33475,1.44048
28,1.30262,1.41624
29,1.31719,1.41035
30,1.29712,1.39949
31,1.27144,1.38995
32,1.25781,1.43348
33,1.26107,1.41478
34,1.24018,1.40306
35,1.22808,1.39313
36,1.21947,1.407
37,1.2189,1.38893
38,1.19299,1.38747
39,1.18403,1.38629
40,1.17662,1.41453
41,1.1772,1.37838
42,1.14909,1.40134
43,1.14731,1.38454
44,1.13419,1.38631
45,1.1634,1.38222
46,1.13547,1.39591
47,1.13064,1.35328
48,1.12375,1.36279
49,1.10275,1.38664
50,1.09985,1.38546
51,1.09605,1.37373
52,1.08437,1.37334
53,1.06395,1.39909
54,1.06086,1.39557
55,1.05326,1.38874
56,1.0639,1.37692
57,1.05314,1.39722
58,1.04527,1.39379
59,1.04061,1.41809
60,1.03253,1.40737
61,1.02716,1.42038
62,1.03244,1.42802
63,1.02019,1.41933
64,1.02514,1.41948
65,1.01006,1.38404
66,1.01371,1.40513
67,1.00082,1.40441
68,1.00741,1.41872
69,0.99457,1.39187
70,0.98816,1.4019
71,0.9708,1.4051
72,0.98412,1.41471
73,0.96624,1.39121
74,0.95966,1.41493
75,0.97476,1.40717
76,0.96418,1.44323
77,0.95459,1.4201
78,0.96127,1.42103
79,0.95473,1.45541
80,0.95132,1.44362
81,0.94605,1.45918
82,0.93759,1.43605
83,0.93431,1.46275
84,0.94106,1.4741
85,0.92,1.45121
86,0.91968,1.4497
87,0.92391,1.47513
88,0.92271,1.44964
89,0.90822,1.46638
90,0.92606,1.45428
91,0.90351,1.48905
92,0.90079,1.44631
93,0.89079,1.48502
94,0.89316,1.47942
95,0.88685,1.47629
96,0.89826,1.46211
97,0.88542,1.47919
98,0.87844,1.46983
99,0.89646,1.48547
100,0.87285,1.45721
101,0.87517,1.47116
102,0.8743,1.47925
103,0.87265,1.47618
104,0.87148,1.47333
105,0.87547,1.48602
106,0.86936,1.47728
107,0.86189,1.47665
108,0.85294,1.47913
109,0.86055,1.48487
110,0.85625,1.49905
111,0.85528,1.51032
112,0.85361,1.50761
