Wall time,Step,Value
1756557214.219204,0,0.6145128607749939
1756557255.292618,1,0.4278579354286194
1756557296.862232,2,0.39301976561546326
1756557338.601609,3,0.3687857389450073
1756557380.219304,4,0.3503970801830292
1756557422.075075,5,0.3359726667404175
1756557464.013333,6,0.3214431405067444
1756557505.904278,7,0.30913808941841125
1756557546.994703,8,0.29872554540634155
1756557588.801415,9,0.2923666834831238
1756557630.68841,10,0.28444045782089233
1756557672.07141,11,0.2757123112678528
1756557713.88413,12,0.2708245813846588
1756557756.032453,13,0.26244285702705383
1756557796.460805,14,0.25762370228767395
1756557837.028847,15,0.25296440720558167
1756557878.817603,16,0.24946248531341553
1756557920.464597,17,0.24559584259986877
1756557962.495439,18,0.24160683155059814
1756558003.838933,19,0.23828285932540894
1756558044.835439,20,0.2363070249557495
1756558087.451148,21,0.23330973088741302
1756558129.365652,22,0.23287178575992584
1756558171.591306,23,0.22876684367656708
1756558212.697875,24,0.2309596985578537
1756558252.944224,25,0.21825727820396423
1756558294.886154,26,0.21410030126571655
1756558336.722216,27,0.2131144106388092
1756558378.581665,28,0.21008636057376862
1756558418.969186,29,0.21145771443843842
1756558461.243413,30,0.20880231261253357
1756558502.466086,31,0.20728203654289246
1756558544.156237,32,0.20697012543678284
1756558584.589163,33,0.20482642948627472
1756558625.578607,34,0.2075982689857483
1756558666.926592,35,0.20312872529029846
1756558708.457915,36,0.20297782123088837
1756558750.156813,37,0.1989661306142807
1756558792.301929,38,0.20265133678913116
1756558833.955065,39,0.2009083479642868
1756558876.252079,40,0.20154739916324615
1756558918.086983,41,0.19721296429634094
1756558959.793135,42,0.19758178293704987
1756559000.381513,43,0.19490543007850647
1756559041.439371,44,0.19252388179302216
1756559083.852352,45,0.19033989310264587
1756559126.26805,46,0.19050998985767365
1756559168.380621,47,0.1896083950996399
1756559209.243928,48,0.19117529690265656
1756559250.578147,49,0.19005469977855682
1756559292.992,50,0.18913210928440094
1756559334.056245,51,0.18780039250850677
1756559376.122855,52,0.1867217719554901
1756559418.837675,53,0.18911410868167877
1756559461.435732,54,0.18715719878673553
1756559502.770472,55,0.18723370134830475
1756559544.937907,56,0.1884041130542755
1756559586.397179,57,0.18450680375099182
1756559628.486124,58,0.1852092742919922
1756559670.108791,59,0.184474915266037
