lrs,losses
9.999999974752427e-7,1.08069908618927
0.0000010525002380745718,1.0798700999731958
0.0000011077568160544615,1.0808492281083064
0.0000011659143410724937,1.0816082159046707
0.0000012271251534912153,1.0820568343362826
0.0000012915495517518139,1.0822958506684233
0.0000013593562471214682,1.0824443780205562
0.0000014307228184406995,1.0824341603694612
0.000001505836166870722,1.082522515927444
0.0000015848929706407944,1.082609031967554
0.0000016681002534824074,1.0827492845116724
0.0000017556759530634736,1.082782128474123
0.0000018478493757356773,1.0827817277148009
0.0000019448618786555016,1.0828039239339777
0.000002046967665592092,1.0827632346983547
0.000002154434014300932,1.0826556077022398
0.0000022675424133922206,1.0825485410334412
0.0000023865889033913845,1.082474204690929
0.000002511885440981132,1.0824045283816917
0.0000026437601263751276,1.0823014314919217
0.000002782558112812694,1.0822107416313513
0.000002928643198174541,1.0821416358895215
0.000003082397597609088,1.0820664575477767
0.0000032442242172692204,1.081981145406008
0.0000034145468816859648,1.081745936532293
0.000003593811470636865,1.0815173780752785
0.0000037824875107617117,1.0811875628474128
0.000003981068857683567,1.0809987499442717
0.000004190075742371846,1.0807661203737706
0.000004410055680637015,1.080521791340065
0.000004641584837372648,1.0802692538315173
0.000004885269390797475,1.0799347970851183
0.000005141747351444792,1.0796528040261821
0.000005411690381151857,1.079364563368752
0.000005695805612049298,1.0790105080521675
0.000005994837010803167,1.0786594260231903
0.000006309567652351689,1.078354017710323
0.00000664082153889467,1.0780220910824019
0.000006989466328377603,1.0777049259371
0.000007356415153481066,1.0773714959849212
0.000007742628440610133,1.0770491935577007
0.000008149118002620526,1.0767194111038212
0.00000857694885780802,1.0763998165268758
0.000009027240594150499,1.0760447024317898
0.00000950117282627616,1.0756701455996498
0.000009999987014452927,1.0752918691903248
0.000010524989193072543,1.0749226424672944
0.000011077553608629387,1.074541359593698
0.000011659128176688682,1.073051352299933
0.000012271235391381197,1.0719203011056342
0.000012915478691866156,1.070896156609848
0.000013593544281320646,1.0698969491541892
0.000014307208402897231,1.0689414337078886
0.000015058340068208054,1.0679761523729614
0.00001584890742378775,1.0670119595294882
0.000016680978660588153,1.06608625955295
0.000017556734746904112,1.0651671398157314
0.000018478467609384097,1.0642309469924873
0.000019448591046966612,1.0633439306598889
0.00002046964618784841,1.062454426643883
0.000021544306946452707,1.0615379774561022
0.000022675389118376188,1.0606168999370449
0.000023865852199378423,1.0596621186560715
0.000025118815756286494,1.058701170512457
0.000026437559426994994,1.0577224099813496
0.000027825537472381257,1.0567236211212363
0.000029286384233273566,1.0557009960229948
0.00003082392504438758,1.0546757414753987
0.00003244218896725215,1.053635766864276
0.000034145410609198734,1.0525947313594293
0.00003593805377022363,1.0515447598952568
0.00003782481144298799,1.0504694361232143
0.00003981062400271185,1.0479368186828812
0.00004190069012111053,1.045461911962978
0.00004410048495628871,1.0431250051731995
0.000046415771066676825,1.040784400421936
0.00004885260932496749,1.038440911296945
0.000051417384383967146,1.0360500284751846
0.00005411680831457488,1.0336252968283592
0.00005695795334759168,1.0311849829064974
0.00005994825914967805,1.0287480553717214
0.00006309555465122685,1.0262958898799135
0.00006640808715019375,1.0238280553770682
0.00006989452958805487,1.021384113809379
0.00007356401329161599,1.0189123478143745
0.00007742614252492785,1.0164303013943272
0.00008149103086907417,1.0139502293504663
0.00008576933032600209,1.0114370815753617
0.00009027223859447986,1.0089047280676262
0.00009501155000180006,1.0063641868770956
0.00009999967733165249,1.0038127790992821
0.00010524968820391223,1.0012261972392846
0.00011077531962655485,0.998647536013368
0.00011659105075523257,0.996034663304502
0.0001227121101692319,0.9933935035764118
0.00012915451952721924,0.9907002984323489
0.0001359351590508595,0.9852936945258043
0.00014307178207673132,0.9800908223877007
0.00015058308781590313,0.9750043111747835
0.00015848873590584844,0.9699088417275006
0.00016680943372193724,0.9648180790121615
0.00017556696548126638,0.9597302290281007
0.000184784279554151,0.954652972287607
0.00019448550301603973,0.9495977593695498
0.0002046960435109213,0.9446663944410426
0.00021544263290707022,0.9398205699939316
0.00022675342916045338,0.9350367159018369
0.0002386580454185605,0.9302778534029033
0.00025118765188381076,0.9256377214617229
0.0002643750631250441,0.9210580488793448
0.0002782548253890127,0.9165829708401467
0.0002928632602561265,0.9121066210822234
0.00030823866836726665,0.9076969908508937
0.0003244212712161243,0.9033563833959388
0.0003414534730836749,0.899052108692034
0.0003593798610381782,0.8948012111735466
0.0003782473795581609,0.8906074517404776
0.00039810544694773853,0.8865129261983578
0.00041900607175193727,0.8824694751276413
0.00044100399827584624,0.8784883053532978
0.0004641568229999393,0.8732045646817987
0.0004885251983068883,0.8677629815944102
0.000514172890689224,0.8626995553353457
0.0005411671008914709,0.8576870395785079
0.000569578493013978,0.8527414138067707
0.0005994815146550536,0.8477886222131004
0.0006309544551186264,0.8428960438384135
0.0006640797364525497,0.8381589225235099
0.0006989440880715847,0.8333814880529615
0.0007356388377957046,0.8286881408996736
0.0007742600864730775,0.8240854333728379
0.0008149089408107102,0.8195244579090385
0.0008576918626204133,0.8150327389293917
0.0009027209016494453,0.8106042021408107
0.0009501139866188169,0.806201254615284
0.0009999951580539346,0.8018325058957014
0.001052495208568871,0.7975525874399817
0.001107751508243382,0.7932661430969785
0.0011659087613224983,0.7890125134095007
0.0012271192390471697,0.7848056193841788
0.0012915432453155518,0.7805950238986393
0.0013593495823442936,0.7764238261869293
0.0014307157834991813,0.7723206179344647
0.001505828695371747,0.7682658347334809
0.0015848850598558784,0.7629202135563043
0.0016680918633937836,0.7574405521787582
0.0017556671518832445,0.7516852085041263
0.0018478401470929384,0.7461425796352024
0.0019448521779850125,0.740655652293179
0.002046957379207015,0.7352773525133471
0.0021544231567531824,0.730038785885354
0.0022675308864563704,0.7249409944647114
