Wall time,Step,Value
1756584453.014621,0,1.788778305053711
1756584468.063473,1,1.5285457372665405
1756584482.889328,2,1.4090081453323364
1756584497.088155,3,1.3247524499893188
1756584511.385789,4,1.236928939819336
1756584526.363535,5,1.1509666442871094
1756584541.295611,6,1.0812078714370728
1756584556.007722,7,1.0279089212417603
1756584571.038891,8,0.9987757802009583
1756584585.876266,9,0.9598175883293152
1756584600.468305,10,0.9335971474647522
1756584615.497533,11,0.9074117541313171
1756584630.340023,12,0.8865402340888977
1756584645.041466,13,0.8700661063194275
1756584659.964536,14,0.8535370230674744
1756584674.774478,15,0.8380053043365479
1756584689.766118,16,0.826399564743042
1756584704.469774,17,0.8106043338775635
1756584719.437192,18,0.8015925884246826
1756584733.503591,19,0.7891607284545898
1756584748.168545,20,0.7783337235450745
1756584763.061543,21,0.7789687514305115
1756584777.789855,22,0.760699987411499
1756584792.394302,23,0.7523066401481628
1756584807.30087,24,0.7554206252098083
1756584822.217024,25,0.7440623641014099
1756584836.79094,26,0.7303966879844666
1756584851.581521,27,0.7300933003425598
1756584866.244174,28,0.7114034295082092
1756584881.126552,29,0.7111222743988037
1756584895.822456,30,0.7036888003349304
1756584910.564729,31,0.7062894701957703
1756584925.673676,32,0.6792700886726379
1756584940.323341,33,0.6720115542411804
1756584955.225403,34,0.6627247929573059
1756584970.281252,35,0.6562435626983643
1756584984.836867,36,0.6584781408309937
1756584999.098492,37,0.6455919146537781
1756585013.633755,38,0.641039252281189
1756585028.670354,39,0.6416811347007751
1756585043.564203,40,0.6368812918663025
1756585058.235478,41,0.6364054083824158
1756585073.324433,42,0.6347302794456482
1756585087.639344,43,0.6297093033790588
1756585102.743107,44,0.6331270933151245
1756585117.819694,45,0.6182077527046204
